,id,number,state,userId,userlogin,username,labels,createTimestamp,updateTimestamp,finishTimestamp,type
489,2992248,I1S4U0,open,6566022,amongo,amongo,[],2020-08-20T15:16:12+08:00,2020-09-28T22:03:32+08:00,,RFC
490,2990807,I1S3PZ,open,6566022,amongo,amongo,[],2020-08-20T11:34:46+08:00,2020-09-23T19:31:50+08:00,,RFC
491,2990324,I1S3CK,open,979510,wanshi66,小吴小同学,[],2020-08-20T10:56:31+08:00,2020-08-20T10:56:32+08:00,,Empty-Template
492,2989539,I1S2QR,open,1100179,null_811_4356,FinePix,[],2020-08-20T09:53:45+08:00,2020-08-20T09:54:42+08:00,,Task-Tracking
493,2988782,I1S25Q,open,7346502,ziruiwu,ZiruiWu,[],2020-08-20T03:47:08+08:00,2020-08-20T04:14:34+08:00,,Empty-Template
494,2980873,I1RW21,open,7347157,joylvliang,JoyLvliang,"[{'id': 58024568, 'name': 'comp/pynative', 'color': '20c22e', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/comp/pynative', 'created_at': '2020-03-19T16:42:22+08:00', 'updated_at': '2021-02-05T17:06:03+08:00'}, {'id': 58023172, 'name': 'comp/runtime', 'color': '6a06d1', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/comp/runtime', 'created_at': '2020-03-19T16:33:17+08:00', 'updated_at': '2020-12-08T19:23:51+08:00'}, {'id': 58022151, 'name': 'device/ascend', 'color': 'b000cf', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/device/ascend', 'created_at': '2020-03-19T16:26:34+08:00', 'updated_at': '2021-02-05T16:40:22+08:00'}]",2020-08-19T09:09:56+08:00,2020-08-19T09:16:35+08:00,,RFC
495,2980187,I1RVIZ,open,7456437,huaweib,baihuawei,[],2020-08-18T20:57:09+08:00,2020-08-18T20:57:37+08:00,,RFC
496,2977323,I1RTBF,open,6584681,zhongligeng,zhongligeng,[],2020-08-18T15:25:50+08:00,2020-08-18T15:27:30+08:00,,Bug-Report
497,2973472,I1RQCG,open,7342109,lichen_101010,lichen_101010,"[{'id': 58021008, 'name': 'kind/enhancement', 'color': 'b000cf', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/kind/enhancement', 'created_at': '2020-03-19T16:20:44+08:00', 'updated_at': '2021-02-04T20:22:47+08:00'}]",2020-08-18T02:24:34+08:00,2020-08-18T02:27:25+08:00,,RFC
498,2970577,I1RO41,open,7456437,huaweib,baihuawei,[],2020-08-17T16:37:28+08:00,2020-08-17T16:37:50+08:00,,RFC
499,2967721,I1RLWP,open,6575981,hanjun996,hanjun996,[],2020-08-17T11:16:11+08:00,2020-08-17T11:40:57+08:00,,Task-Tracking
500,2962755,I1RI2R,open,6584681,zhongligeng,zhongligeng,[],2020-08-15T14:14:55+08:00,2020-08-15T16:28:56+08:00,,Bug-Report
501,2953135,I1RANJ,open,6575280,zhoufeng54,zhoufeng,[],2020-08-13T15:43:50+08:00,2020-08-26T20:20:27+08:00,,Empty-Template
502,2948471,I1R71Z,open,6566022,amongo,amongo,[],2020-08-12T19:23:32+08:00,2020-09-28T22:03:05+08:00,,RFC
503,2945953,I1R541,open,7456437,huaweib,baihuawei,[],2020-08-12T14:46:27+08:00,2020-08-12T14:46:44+08:00,,Bug-Report
504,2945176,I1R4IG,open,7386274,sanjaychan,chenzomi,[],2020-08-12T12:55:07+08:00,2020-08-12T12:55:26+08:00,,Bug-Report
505,2937655,I1QYPJ,open,7386274,sanjaychan,chenzomi,[],2020-08-11T11:39:52+08:00,2020-08-11T11:40:17+08:00,,Bug-Report
506,2936436,I1QXRO,open,7363327,robingrosman,RobinGrosman,[],2020-08-11T09:41:10+08:00,2020-08-11T10:31:08+08:00,,Bug-Report
507,2935780,I1QX9G,open,7641551,nhussain,nhussain,[],2020-08-11T01:39:30+08:00,2020-08-11T01:39:31+08:00,,Bug-Report
508,2930530,I1QT7M,open,5727974,weiwei-w,vlne-v1,"[{'id': 67686589, 'name': 'low-hanging-fruit', 'color': 'f1009a', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/low-hanging-fruit', 'created_at': '2020-06-18T09:01:47+08:00', 'updated_at': '2020-08-29T09:37:22+08:00'}]",2020-08-10T11:10:52+08:00,2020-10-31T14:38:11+08:00,,Requirement
